Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1
CTR-GCN,1,0.10370331009229024,0.6847826086956522,0.082847461104393,0.75,0.6428571428571428
CTR-GCN,2,0.11264639720320702,0.7065217391304348,0.07308879494667053,0.75,0.6428571428571428
CTR-GCN,3,0.09254935632149379,0.7608695652173914,0.06037265807390213,0.75,0.6428571428571428
CTR-GCN,4,0.10514737044771512,0.7282608695652174,0.05479220300912857,0.75,0.6428571428571428
CTR-GCN,5,0.09560096512238185,0.7608695652173914,0.05874686315655708,0.75,0.6428571428571428
CTR-GCN,6,0.07550768678387006,0.7391304347826086,0.06950530409812927,0.75,0.6428571428571428
CTR-GCN,7,0.11090087269743283,0.717391304347826,0.0785626769065857,0.75,0.6428571428571428
CTR-GCN,8,0.10053203999996185,0.75,0.0830889344215393,0.75,0.6428571428571428
CTR-GCN,9,0.06442996362845103,0.7282608695652174,0.08286643773317337,0.75,0.6428571428571428
CTR-GCN,10,0.07922618463635445,0.7391304347826086,0.0822230726480484,0.75,0.6428571428571428
CTR-GCN,11,0.08516726642847061,0.7391304347826086,0.07879228889942169,0.75,0.6428571428571428
CTR-GCN,12,0.0705930416782697,0.7282608695652174,0.07465565204620361,0.75,0.6428571428571428
ST-GCN,1,0.1497400999069214,0.4891304347826087,0.10220339149236679,0.75,0.6428571428571428
ST-GCN,2,0.21787270158529282,0.7282608695652174,0.06606552004814148,0.75,0.6428571428571428
ST-GCN,3,0.1084035833676656,0.717391304347826,0.05490811541676521,0.75,0.6428571428571428
ST-GCN,4,0.08194928616285324,0.7391304347826086,0.058598458766937256,0.75,0.6428571428571428
ST-GCN,5,0.09422312676906586,0.6739130434782609,0.06957131624221802,0.75,0.6428571428571428
ST-GCN,6,0.07363585258523624,0.7717391304347826,0.08675318956375122,0.75,0.6428571428571428
ST-GCN,7,0.06983063369989395,0.7717391304347826,0.10139687359333038,0.75,0.6428571428571428
ST-GCN,8,0.09438570961356163,0.7391304347826086,0.11628758907318115,0.75,0.6428571428571428
ST-GCN,9,0.07260048265258472,0.782608695652174,0.12956079840660095,0.75,0.6428571428571428
ST-GCN,10,0.06316593537727992,0.7608695652173914,0.1389693319797516,0.75,0.6428571428571428
ST-GCN,11,0.04263601948817571,0.8152173913043478,0.1408272534608841,0.75,0.6428571428571428
ST-GCN,12,0.08002722511688869,0.75,0.1444658488035202,0.75,0.6428571428571428
