Model,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1
CTR-GCN,1,0.06535265724965952,0.8100848256361922,0.04099681369703392,0.8228822882288229,0.74292812503942
CTR-GCN,2,0.040319572587994706,0.82186616399623,0.042293264305797114,0.8371837183718371,0.8455709022099863
CTR-GCN,3,0.030439768700783413,0.8277568331762488,0.031119704053833568,0.8228822882288229,0.74292812503942
CTR-GCN,4,0.02873388633019942,0.8242224316682375,0.027038700750161862,0.8228822882288229,0.74292812503942
CTR-GCN,5,0.027242476190615417,0.8265786993402451,0.026456856457837696,0.88998899889989,0.8857609795475235
CTR-GCN,6,0.025811406629706237,0.8268143261074458,0.027386304633370762,0.8228822882288229,0.74292812503942
CTR-GCN,7,0.025092058163836486,0.827521206409048,0.03012517081766293,0.8932893289328933,0.8988705262764668
CTR-GCN,8,0.023246666003382745,0.8433081998114986,0.023434066470583964,0.911991199119912,0.9156446517094183
CTR-GCN,9,0.02260812185704708,0.8459000942507069,0.02077971835588587,0.9218921892189219,0.9227177058955436
CTR-GCN,10,0.02214947504628646,0.8550895381715363,0.023572268895804882,0.9185918591859186,0.919903343235808
CTR-GCN,11,0.020290365505655456,0.8656927426955702,0.020208960559604496,0.922992299229923,0.9242328922500888
CTR-GCN,12,0.019372259872384313,0.8868991517436381,0.018490664355842203,0.9262926292629263,0.9278719777977318
CTR-GCN,13,0.019332605970785358,0.8850141376060321,0.015049171866849065,0.9361936193619362,0.9350392655159556
CTR-GCN,14,0.018188696267097293,0.9024505183788878,0.015266178352437142,0.9306930693069307,0.9297203290399685
CTR-GCN,15,0.01734988802791874,0.9026861451460886,0.015225838934039247,0.9394939493949395,0.9388049692001775
CTR-GCN,16,0.016928995696869783,0.9102262016965127,0.014991344643178684,0.9427942794279428,0.9423654462397141
CTR-GCN,17,0.017663849206095126,0.9043355325164939,0.013145590546251884,0.9460946094609461,0.9456211888653935
CTR-GCN,18,0.017466405798730097,0.9142318567389256,0.015007110119893634,0.9471947194719472,0.9474478936898443
CTR-GCN,19,0.01687857046499288,0.9142318567389256,0.013540669553110311,0.9471947194719472,0.9467988734520438
CTR-GCN,20,0.01643360136917099,0.9149387370405277,0.013626909846889562,0.9471947194719472,0.9469330178300849
ST-GCN,1,0.061673063644789215,0.8039585296889726,0.10325274571519473,0.8228822882288229,0.74292812503942
ST-GCN,2,0.044748119323661455,0.8223374175306315,0.08375662751495838,0.8228822882288229,0.74292812503942
ST-GCN,3,0.03791065305415401,0.8251649387370406,0.06634230243748632,0.8228822882288229,0.74292812503942
ST-GCN,4,0.03463671927137258,0.8230442978322338,0.055711369544010736,0.8228822882288229,0.74292812503942
ST-GCN,5,0.03306730880044905,0.823751178133836,0.04781162892949992,0.8228822882288229,0.74292812503942
ST-GCN,6,0.031383776414047056,0.8239868049010367,0.028585924670614046,0.8426842684268426,0.7896257976928188
ST-GCN,7,0.03061299236085182,0.824693685202639,0.02901813127742759,0.8415841584158416,0.7874331725066432
ST-GCN,8,0.02909286152151294,0.8296418473138548,0.03113928353735085,0.8382838283828383,0.7775974481197359
ST-GCN,9,0.02897459067600338,0.8319981149858624,0.021923113036258466,0.8624862486248625,0.8328572212209687
ST-GCN,10,0.027206716757911937,0.8383600377002828,0.022227738727012586,0.8437843784378438,0.790385489555162
ST-GCN,11,0.02712677796616366,0.842836946277097,0.031836675672695554,0.8371837183718371,0.7752687257986641
ST-GCN,12,0.02559616428596857,0.8477851083883129,0.022224417759169793,0.8437843784378438,0.791800140846398
ST-GCN,13,0.025254017778469206,0.8513195098963242,0.021021733702770596,0.8723872387238724,0.8460949122435178
ST-GCN,14,0.025092954145170245,0.8586239396795476,0.021989923002647942,0.8415841584158416,0.7929777615030351
ST-GCN,15,0.02479904019658951,0.8499057492931197,0.0217701043484026,0.8503850385038504,0.8092619138457057
ST-GCN,16,0.024845573876081106,0.8605089538171536,0.020503192658311332,0.8723872387238724,0.8468770281283448
ST-GCN,17,0.02350155586950985,0.8588595664467483,0.02091971071886605,0.8723872387238724,0.8491312643515874
ST-GCN,18,0.023867162700770495,0.8588595664467483,0.021795587357262086,0.8613861386138614,0.8283080565581642
ST-GCN,19,0.023873635644751385,0.8692271442035815,0.021436159788020725,0.8602860286028603,0.8274225152389958
ST-GCN,20,0.023143116202681585,0.8682846371347785,0.021640626071342105,0.858085808580858,0.8227352631079115
